num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux,deputes
95,union pour la democratie francaise,2013,109548,0,4380761,108979,15250,71572,1287,0,0,1337415,0,19154,0,6043966,0,1416861,0,0,0,18572,100260,552000,0,6043966,0,0,0,0,64021,49981,222401,131343,9322,0,0,0,609827,1331,5073,0,0,7470,0,146570,0,0,0,1460700,0,2026688,1416861,2636515,0
104,europe ecologie les verts,2013,21372,0,0,2492762,67868,0,230099,2490,0,346526,116644,2777450,45255,6366907,0,917000,599454,34331,2549021,902824,418122,353021,1805,6366907,385475,0,0,288558,2974562,136069,1643212,962482,215655,254341,0,0,7669132,1291779,2754248,3521793,1207242,262208,63,3410,187534,140586,24609,167342,168085,8586132,917000,16255264,0
401,union pour un mouvement populaire,2013,1228156,0,34811596,5202595,0,318247,897936,55003,0,1635192,170205,5729148,449720,50497798,0,3107422,1435501,713649,76161705,4172075,3936068,4009872,111566,50497798,3506342,0,0,0,11408016,1337394,6044166,2869458,2896317,11787507,0,0,42898627,4716124,1563984,19870310,13113149,16903020,35747,38197,593959,1002087,84930,34604,1053053,46006049,3107422,88904676,197
455,l'alliance ecologiste independante,2013,0,0,0,193,0,0,1000,4326,0,1500,0,5692,5921,18632,0,-29800,0,0,0,828,5174,9649,0,18632,30989,0,0,1739,41099,439,13051,2781,110986,358,0,0,202132,4030,0,157511,0,7770,0,0,0,986,0,2035,0,172332,-29800,374464,0
529,mouvement democrate,2013,0,0,84515,190851,15,84682,5837,0,0,53356,685891,381103,4104,1490354,0,1424,42530,0,95124,53035,19615,1338596,0,1490354,250231,0,0,0,958291,68363,97893,54386,16201,43315,0,0,1841231,286726,15560,0,0,142226,1594,946249,93710,228384,3210,33473,42922,1842655,1424,3683886,0
531,association psle - nouveau centre,2013,9255,0,0,37602,0,0,16384,0,0,133022,0,213853,5454,415570,0,94366,5000,0,1043085,226767,69977,55769,0,415570,140595,0,0,13407,509840,28223,295699,120277,27398,1006,0,0,1402449,103665,97117,1159570,582807,85883,0,0,3200,0,0,0,0,1496815,94366,2899264,0
709,union des democrates et independants,2013,0,0,0,118523,0,0,112650,0,0,606477,0,80249,34996,952895,0,-108493,0,0,568995,156472,84228,518657,0,952895,965436,3822,0,24978,154008,46996,466017,175235,14373,35,0,0,2356153,193498,0,0,0,89052,0,1851000,70407,4005,0,39688,0,2247660,-108493,4603813,28
1,democratie et republique,2014,0,0,0,0,0,0,0,0,0,0,0,77374,0,77374,0,-29130,0,0,0,0,0,0,0,77374,66500,4000,0,0,0,0,0,0,12,0,0,0,274512,0,15000,94221,74561,15987,0,119298,0,0,856,0,0,245382,-29130,519894,15
40,front national,2014,6308,0,59760,529389,14000,2129638,144482,0,0,223317,0,4861324,154645,8122863,0,-1134640,0,0,5999430,1184782,810497,143817,0,8122863,2039747,0,0,597604,4677946,247042,2136812,992812,241860,96625,0,0,11382400,2098347,465803,4997614,74561,305773,0,115000,542334,141948,81476,24001,40000,10247760,-1134640,21630160,0
52,parti radical de gauche,2014,0,0,76225,69560,0,0,80369,0,0,86142,594822,239013,18886,1165017,0,22838,1800,0,76,161822,98932,57486,150,1165017,577288,0,0,12169,872297,24138,231013,198030,1364,10377,0,0,2114215,149540,204865,1547040,1043854,106611,9523,28243,12095,76770,2225,141,0,2137053,22838,4251268,19
76,parti socialiste,2014,399591,0,16110212,3974979,1164639,2088544,483759,30655,0,5197816,5500992,14943234,358343,52121668,0,-2375277,502457,10560081,15783868,4276377,4648956,6282036,780067,52121668,4058875,0,0,1341382,14027954,1517386,15524221,7097209,488564,125079,0,2190300,60743100,7185494,12962219,25498420,15471405,2112356,48547,136180,641326,5902986,240157,184751,2474793,58367823,-2375277,119110923,273
