nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat_debut,mandat_fin
Martine Faure,1948-09-30,33,9,"socialiste, radical, citoyen et divers gauche",642.0,2,2007-06-20,2012-06-19
Jean-Marc Lefranc,1947-02-20,14,5,union pour un mouvement populaire,109.0,2,2007-06-20,2012-06-19
Albert Facon,1943-11-11,62,14,"socialiste, radical, citoyen et divers gauche",512.0,2,2007-06-20,2012-06-19
Hervé Gaymard,1960-05-31,73,2,union pour un mouvement populaire,170.0,2,2007-06-20,2012-06-19
Dominique Raimbourg,1950-04-28,44,4,"socialiste, radical, citoyen et divers gauche",480.0,1,2007-06-20,2012-06-19
Renaud Muselier,1959-05-06,13,5,union pour un mouvement populaire,96.0,3,2007-06-20,2012-06-19
Corinne Erhel,1967-02-03,22,5,"socialiste, radical, citoyen et divers gauche",565.0,2,2007-06-20,2012-06-19
Loïc Bouvard,1929-01-20,56,4,union pour un mouvement populaire,250.0,1,2007-06-20,2012-06-19
Pierre Cohen,1950-03-20,31,3,"socialiste, radical, citoyen et divers gauche",542.0,3,2007-06-20,2012-06-19
Marie-Françoise Pérol-Dumont,1952-05-26,87,3,"socialiste, radical, citoyen et divers gauche",428.0,2,2007-06-20,2012-06-19
Marc Laffineur,1945-08-10,49,7,union pour un mouvement populaire,254.0,2,2007-06-20,2011-07-29
Jean-Luc Warsmann,1965-10-22,08,3,union pour un mouvement populaire,179.0,5,2007-06-20,2012-06-19
Claude Darciaux,1942-10-18,21,3,"socialiste, radical, citoyen et divers gauche",460.0,3,2007-06-20,2012-06-19
Joël Giraud,1959-10-14,05,2,"socialiste, radical, citoyen et divers gauche",620.0,3,2007-06-20,2012-06-19
George Pau-Langevin,1948-10-19,75,21,"socialiste, radical, citoyen et divers gauche",451.0,2,2007-06-20,2012-06-19
Jacques Myard,1947-08-14,78,5,union pour un mouvement populaire,292.0,2,2007-06-20,2012-06-19
Jean-Jacques Candelier,1945-03-07,59,16,democratie et republique,582.0,3,2007-06-20,2012-06-19
François Sauvadet,1953-04-20,21,4,nouveau centre,364.0,5,2007-06-20,2011-07-29
Noël Mamère,1948-12-25,33,3,non-inscrits,600.0,2,2007-06-20,2012-06-19
Jeanny Marc,1950-12-02,971,3,"socialiste, radical, citoyen et divers gauche",619.0,3,2007-06-20,2012-06-19
Isabelle Vasseur,1959-04-10,02,5,union pour un mouvement populaire,236.0,4,2007-06-20,2012-06-19
Michel Havard,1967-03-24,69,1,union pour un mouvement populaire,154.0,2,2007-06-20,2012-06-19
Alain Cousin,1947-04-08,50,3,union pour un mouvement populaire,175.0,1,2007-06-20,2012-06-19
Alain Vidalies,1951-03-17,40,1,"socialiste, radical, citoyen et divers gauche",354.0,2,2007-06-20,2012-06-19
Patrick Lemasle,1952-05-18,31,7,"socialiste, radical, citoyen et divers gauche",540.0,3,2007-06-20,2012-06-19
Martine Billard,1952-10-07,75,1,democratie et republique,599.0,1,2007-06-20,2012-06-19
Didier Migaud,1952-06-06,38,4,"socialiste, radical, citoyen et divers gauche",514.0,3,2007-06-20,2010-03-01
Gérard Cherpion,1948-03-15,88,2,union pour un mouvement populaire,119.0,2,2007-06-20,2012-06-19
Thierry Benoit,1966-09-13,35,6,nouveau centre,402.0,4,2007-06-20,2012-06-19
Michel Piron,1943-03-15,49,4,union pour un mouvement populaire,287.0,4,2007-06-20,2012-06-19
Marc Bernier,1943-04-19,53,2,union pour un mouvement populaire,278.0,4,2007-06-20,2012-06-19
François Scellier,1936-05-07,95,6,union pour un mouvement populaire,290.0,2,2007-06-20,2012-06-19
Christian Blanc,1942-05-17,78,3,nouveau centre,367.0,2,2010-08-05,2012-06-19
Marie-Odile Bouillé,1950-10-13,44,8,"socialiste, radical, citoyen et divers gauche",603.0,3,2007-06-20,2012-06-19
Christian Bataille,1946-05-13,59,22,"socialiste, radical, citoyen et divers gauche",434.0,2,2007-06-20,2012-06-19
